risk_month,segment,current_rating,total_loans,total_exposure,total_expected_loss,avg_provision_rate
2026-03-01,CE,B,3,119303.79,69.973,0.00058651112424844179
2026-03-01,CE,D,3,5261.23,0.0,0.0
2026-03-01,CE,F,2,2193.02,0.0,0.0
2026-03-01,CE,C,4,48337.99,0.0,0.0
2026-03-01,CE,A,5,11417.5,0.0,0.0
2026-03-01,CE,E,4,3899.78,0.0,0.0
2026-03-01,PB,E,1,2382.02,0.0,0.0
2026-03-01,PB,A,3,16258.01,0.0,0.0
2026-03-01,PE,D,5,6005.13,0.0,0.0
2026-03-01,PE,C,11,20359.36,28.233,0.0013867331782531475
2026-03-01,PE,E,13,44398.71,142.5,0.0032095527099773847
2026-03-01,PE,A,14,66498.33,0.0,0.0
2026-03-01,PE,F,4,5513.02,0.0,0.0
2026-03-01,PE,B,3,7183.94,0.0,0.0
2026-03-01,SP,D,1,1301.47,0.0,0.0
2026-03-01,SP,E,1,2924.75,0.0,0.0
2026-03-01,SP,F,1,11499.75,0.0,0.0
2026-03-01,SP,C,3,4899.44,0.0,0.0
2026-03-01,SP,A,2,3495,0.0,0.0
2026-02-01,AM,A,1,666.79,0.0,0.0
2026-02-01,AM,D,2,1608.48,0.0,0.0
2026-02-01,AM,E,1,349.01,0.0,0.0
2026-02-01,CE,D,24,69222.35,239.03200000000004,0.0034531043803049163
2026-02-01,CE,C,32,67221.77,369.10900000000004,0.0054909146248306165
2026-02-01,CE,A,62,123474.95,133.4318,0.0010806386234616821
2026-02-01,CE,G,1,629.94,0.0,0.0
2026-02-01,CE,E,23,42219.98,3338.9579999999996,0.079084784028793931
2026-02-01,CE,B,7,20189.97,0.0,0.0
2026-02-01,CE,F,12,54713.71,484.88,0.0088621298025668514
2026-02-01,ES,E,1,9247.02,0.0,0.0
2026-02-01,GO,A,1,280.22,0.0,0.0
2026-02-01,GO,E,1,1225,0.0,0.0
2026-02-01,MG,F,1,598.52,0.0,0.0
2026-02-01,MG,A,7,14786.6,0.0,0.0
2026-02-01,MG,C,2,1982.15,0.0,0.0
2026-02-01,MG,E,3,12265.79,3395.505,0.27682725694798294
2026-02-01,MT,D,1,1585,0.0,0.0
2026-02-01,PA,E,1,652.07,0.0,0.0
2026-02-01,PA,A,1,1148.45,0.0,0.0
2026-02-01,PA,C,1,2924.5,0.0,0.0
2026-02-01,PB,D,3,45630.93,0.0,0.0
2026-02-01,PB,B,1,268.47,0.0,0.0
2026-02-01,PB,C,7,45575.99,208.941,0.0045844533492305928
2026-02-01,PB,F,5,5225.69,222.43600000000004,0.0425658621158163
2026-02-01,PB,E,8,28882.58,0.0,0.0
2026-02-01,PB,A,12,15952.66,0.0,0.0
2026-02-01,PE,G,1,272.34,0.0,0.0
2026-02-01,PE,A,155,595118.35,129.49710000000002,0.00021759890280647541
2026-02-01,PE,B,38,270254.19,0.0,0.0
2026-02-01,PE,C,70,236634.55,3737.674,0.015795132198573709
2026-02-01,PE,D,69,557849.89,8901.2220000000016,0.015956303227020446
2026-02-01,PE,F,37,51602.57,5727.42,0.11099098358860809
2026-02-01,PE,E,75,282532.46,23915.877,0.084648245373292672
2026-02-01,PR,A,1,850,0.0,0.0
2026-02-01,RJ,E,1,285.86,85.758,0.3
2026-02-01,RS,A,1,374.5,0.0,0.0
2026-02-01,SP,B,6,30427.8,0.0,0.0
2026-02-01,SP,C,14,57270.19,292.737,0.0051115074002722888
2026-02-01,SP,F,6,13532,58.379999999999995,0.0043142181495713864
2026-02-01,SP,E,6,8968.36,0.0,0.0
2026-02-01,SP,A,13,29334.08,161.4999,0.0055055382681168108
2026-02-01,SP,D,6,114499.39,0.0,0.0
2026-01-01,AM,G,1,1383.33,0.0,0.0
2026-01-01,AM,C,1,5601.44,560.144,0.1
2026-01-01,CE,D,73,608932.07,2961.75,0.0048638430227529329
2026-01-01,CE,A,149,348958.23,640.3022,0.0018348964000648445
2026-01-01,CE,E,68,207828.38,6634.956,0.03192516825661635
2026-01-01,CE,G,2,2033.88,0.0,0.0
2026-01-01,CE,B,26,64659.25,19.402500000000003,0.00030007307539137873
2026-01-01,CE,C,86,334700.52,2437.484,0.0072825820527556984
2026-01-01,CE,F,36,58018.85,2107.94,0.0363319852082556
2026-01-01,DF,D,1,479.44,0.0,0.0
2026-01-01,DF,E,1,345,0.0,0.0
2026-01-01,DF,A,1,3147.5,0.0,0.0
2026-01-01,ES,A,1,508.05,0.0,0.0
2026-01-01,ES,C,2,5131.04,0.0,0.0
2026-01-01,GO,D,2,182078.66,0.0,0.0
2026-01-01,GO,A,5,13454.54,0.0,0.0
2026-01-01,MG,B,1,11258.7,562.93500000000006,0.05
2026-01-01,MG,E,7,77757.39,93.791999999999987,0.0012062133258330815
2026-01-01,MG,D,9,33461.88,0.0,0.0
2026-01-01,MG,A,21,83446.02,48.0299,0.00057558047705570615
2026-01-01,MG,F,2,1988.09,0.0,0.0
2026-01-01,MG,C,11,28362.46,302.581,0.010668362335284036
2026-01-01,MT,C,1,298.73,0.0,0.0
2026-01-01,PA,G,1,272.34,0.0,0.0
2026-01-01,PA,A,1,2800,0.0,0.0
2026-01-01,PA,E,2,1044.99,0.0,0.0
2026-01-01,PA,D,1,659.5,131.9,0.2
2026-01-01,PB,A,37,96815.25,42.893600000000006,0.00044304590444170733
2026-01-01,PB,C,20,82286.71,0.0,0.0
2026-01-01,PB,B,5,5531.09,0.0,0.0
2026-01-01,PB,G,1,629.94,0.0,0.0
2026-01-01,PB,D,18,79884.1,639.80000000000007,0.0080091031882439691
2026-01-01,PB,E,13,54058.79,5675.0999999999995,0.10498015216396814
2026-01-01,PB,F,3,9111.17,0.0,0.0
2026-01-01,PE,A,455,1348750.31,1153.8057000000001,0.00085546278762301084
2026-01-01,PE,B,102,295607.58,1718.0125,0.0058118012400087977
2026-01-01,PE,E,216,619451.03,8374.6709999999985,0.013519504519994096
2026-01-01,PE,D,252,1042197.91,19398.194000000003,0.01861277384446108
2026-01-01,PE,G,4,4046.27,0.0,0.0
2026-01-01,PE,F,101,217088.02,1450.824,0.0066831140658982482
2026-01-01,PE,C,245,760121.91,4498.781,0.0059184993101961758
2026-01-01,PR,F,1,597.36,0.0,0.0
2026-01-01,PR,B,1,630.45,31.522500000000004,0.05
2026-01-01,RJ,D,1,680.44,0.0,0.0
2026-01-01,RJ,B,2,2162.63,0.0,0.0
2026-01-01,RJ,A,3,2239.55,0.0,0.0
2026-01-01,RJ,C,2,1466.96,0.0,0.0
2026-01-01,RJ,F,1,1910.65,0.0,0.0
2026-01-01,RJ,E,1,1149.5,344.84999999999997,0.3
2026-01-01,RN,D,1,831.36,0.0,0.0
2026-01-01,RR,D,1,1443.19,0.0,0.0
2026-01-01,RS,C,1,1334.93,0.0,0.0
2026-01-01,RS,B,1,1385.5,0.0,0.0
2026-01-01,RS,E,1,9058.42,0.0,0.0
2026-01-01,RS,D,2,2563.47,0.0,0.0
2026-01-01,SC,E,1,652.07,0.0,0.0
2026-01-01,SC,A,1,588.34,0.0,0.0
2026-01-01,SC,D,1,139.63,0.0,0.0
2026-01-01,SC,B,1,2000,0.0,0.0
2026-01-01,SP,B,18,226304.44,50.119,0.00022146715283182249
2026-01-01,SP,G,1,1117.77,0.0,0.0
2026-01-01,SP,D,33,203355.68,371.46,0.0018266517069992832
2026-01-01,SP,C,18,34322.12,0.0,0.0
2026-01-01,SP,A,45,80318.01,64.310600000000008,0.00080069961892731173
2026-01-01,SP,E,31,155790.13,15980.755000000001,0.10257873846051736
2026-01-01,SP,F,10,14897.71,133.24800000000002,0.0089441934364409038
2025-12-01,AC,A,1,306.58,0.0,0.0
2025-12-01,AL,A,1,576.4,0.0,0.0
2025-12-01,AL,D,1,117.11,0.0,0.0
2025-12-01,AM,E,1,152.53,0.0,0.0
2025-12-01,AM,B,1,850.8,0.0,0.0
2025-12-01,AM,C,1,1769.08,0.0,0.0
2025-12-01,AM,A,1,1399.52,0.0,0.0
2025-12-01,AP,C,2,501.35,0.0,0.0
2025-12-01,AP,A,1,539.67,0.0,0.0
2025-12-01,AP,B,1,12339.09,0.0,0.0
2025-12-01,AP,D,3,2334.35,0.0,0.0
2025-12-01,BA,A,1,1000.07,0.0,0.0
2025-12-01,BA,D,1,56.9,0.0,0.0
2025-12-01,BA,E,1,79.01,0.0,0.0
2025-12-01,BA,C,6,4356.99,0.0,0.0
2025-12-01,BA,B,1,25.94,1.2970000000000002,0.05
2025-12-01,CE,A,342,879009.11,426.1351,0.00048479031121759366
2025-12-01,CE,E,216,446482.37,8791.1099999999988,0.019689713616239762
2025-12-01,CE,D,481,1029803.57,10547.46,0.010242205705307469
2025-12-01,CE,G,2,895.75,0.0,0.0
2025-12-01,CE,F,56,553441.13,4070.5680000000007,0.0073550153383070763
2025-12-01,CE,C,569,857079.88,10640.566,0.012414905831181103
2025-12-01,CE,B,145,171857.83,1179.1295,0.0068610752271223256
2025-12-01,DF,B,1,11238.99,0.0,0.0
2025-12-01,DF,A,4,9171.41,0.0,0.0
2025-12-01,DF,E,1,1942.05,0.0,0.0
2025-12-01,DF,C,1,1463.62,0.0,0.0
2025-12-01,DF,F,1,125.34,0.0,0.0
2025-12-01,ES,B,2,12268.54,0.0,0.0
2025-12-01,ES,C,10,4777.36,32.091,0.0067173083041679928
2025-12-01,ES,D,4,2772.55,0.0,0.0
2025-12-01,ES,A,2,2145.4,0.0,0.0
2025-12-01,ES,E,2,1188.28,0.0,0.0
2025-12-01,GO,E,2,22761.01,0.0,0.0
2025-12-01,GO,A,4,4202.63,0.0,0.0
2025-12-01,GO,D,5,31757.56,0.0,0.0
2025-12-01,GO,B,1,182.98,0.0,0.0
2025-12-01,GO,C,5,2418.53,0.0,0.0
2025-12-01,MA,E,1,384.44,0.0,0.0
2025-12-01,MA,D,2,603.73,9.49,0.01571894721150183
2025-12-01,MA,C,1,280.74,0.0,0.0
2025-12-01,MG,F,4,10773.61,823.648,0.076450511945392485
2025-12-01,MG,D,55,137537.53,199.006,0.0014469214330081396
2025-12-01,MG,C,55,46900.8,16.712,0.00035632654453655372
2025-12-01,MG,A,25,50435.46,115.398,0.0022880330624524886
2025-12-01,MG,B,13,11622.1,8.5,0.0007313652438027551
2025-12-01,MG,E,22,33195.14,254.78699999999998,0.0076754308010148469
2025-12-01,MS,D,1,508.49,0.0,0.0
2025-12-01,MT,D,3,818.13,0.0,0.0
2025-12-01,MT,A,2,2972.44,16.2133,0.0054545423961459274
2025-12-01,PA,E,3,1920.32,0.0,0.0
2025-12-01,PA,D,6,7175.83,182.258,0.025398873719137717
2025-12-01,PA,C,2,2876.92,0.0,0.0
2025-12-01,PA,A,3,8009.27,7.6695,0.00095757790660072639
2025-12-01,PB,E,65,251192.45,1063.9959999999999,0.00423578017571786
2025-12-01,PB,D,130,321240.83,1562.0240000000003,0.0048624703154950769
2025-12-01,PB,C,157,177208.41,449.34000000000009,0.0025356584374296911
2025-12-01,PB,A,92,320899.9,503.42229999999995,0.0015687829756257322
2025-12-01,PB,B,32,24815.23,161.3915,0.0065037277510625532
2025-12-01,PB,F,25,37865.93,394.21200000000005,0.010410730701715236
2025-12-01,PE,E,692,1830647.02,26188.727999999996,0.014305722356022515
2025-12-01,PE,F,233,535214.45,16252.912000000004,0.030367102382979395
2025-12-01,PE,A,1079,3113485.9,4109.940700000001,0.0013200447447023933
2025-12-01,PE,G,12,9460.96,0.0,0.0
2025-12-01,PE,D,1581,3416833.04,68470.044000000009,0.020039037084469309
2025-12-01,PE,B,471,940548.13,3523.8530000000005,0.0037465950838688079
2025-12-01,PE,C,1884,3637146.09,18623.984,0.0051204937990269178
2025-12-01,PI,C,2,1664.8,0.0,0.0
2025-12-01,PI,B,1,142.14,0.0,0.0
2025-12-01,PR,B,3,1893.46,22.4875,0.011876406155926188
2025-12-01,PR,A,2,2546.45,0.0,0.0
2025-12-01,PR,D,1,111.4,0.0,0.0
2025-12-01,PR,G,1,263.98,0.0,0.0
2025-12-01,PR,C,5,3394.53,0.0,0.0
2025-12-01,RJ,B,1,309.62,0.0,0.0
2025-12-01,RJ,C,11,7323.4,21.174000000000003,0.0028912800065543334
